currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
USDT,BTC,MACD,0.00,-0.28,0,0.28,0,20.00,0.06,0.06,-0.55,-0.44,60,10,73,0,1,60618871426,3454.98,3464.93,3448.43,3475.79,3463.89456657,0.1,23304,5268574532,159882,2019-02-04 15:48:00,2019-02-05 03:12:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BCHABC,MACD,0.00,-0.63,0,0.63,0,0.00,-0.42,n/a,-0.66,-0.54,145,10,73,0,,,118.85,119.6,118.13,119.68,118.86452681,0.2,40810,,16562,2019-02-04 15:48:00,2019-02-05 03:12:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BCHABC,RSI,0.00,-11.06,0.00,11.06,1.00,100.00,3.13,2.18,0.28,n/a,2290,10,73,7,,,116.87,129.86,111.18,131.99,117.52675894,2.4,81809,,27338,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BCHSV,RSI,0.00,-3.20,0.00,3.20,1.00,33.33,1.82,1.82,-6.28,-3.16,1323,10,73,7,,,64.6,66.67,57.38,69.88,63.12454432,2.9,63269,,17487,2019-02-01 12:09:00,2019-02-08 21:13:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BTT,RSI,0.00,-77.74,0.00,77.74,0.86,0.00,-4.94,n/a,-8.46,-4.99,1536,10,73,7,,,0.0004821,0.0008569,0.0004166,0.0012843,0.00075927,30.5,79566462653,,110849,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,ADA,RSI,0.00,-5.66,0.00,5.66,0.86,66.67,1.48,0.81,-1.08,-1.08,1246,10,73,7,12,1048951017,0.03871,0.04087,0.03588,0.0425,0.03785097,2.6,75884427,32444617,11170,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BTC,RSI,0.00,-5.41,0.00,5.41,0.71,50.00,0.48,0.48,-1.31,-1.31,3840,10,73,7,1,63877289223,3470,3658.04,3373.1,3733.58,3449.88579197,1.3,26435,7573054306,165509,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BCHABC,MACD,0.00,-11.06,0.00,11.06,8.86,29.03,6.14,1.1,-1.39,-0.7,162,10,73,7,,,116.87,129.86,111.18,131.99,117.52675894,2.4,81809,,27338,2019-02-01 12:09:00,2019-02-08 21:14:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD,0.00,-5.41,0.00,5.41,16.00,12.50,5.98,0.36,-0.60,-0.37,99,10,73,7,1,63877289223,3470,3658.04,3373.1,3733.58,3449.88579197,1.3,26435,7573054306,165509,2019-02-01 12:09:00,2019-02-08 21:14:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BCHSV,MACD,0.00,-3.20,0.00,3.20,6.86,29.17,12.70,1.78,-2.96,-0.98,221,10,73,7,,,64.6,66.67,57.38,69.88,63.12454432,2.9,63269,,17487,2019-02-01 12:09:00,2019-02-08 21:13:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,EOS,RSI,0.00,-15.77,0.00,15.77,1.29,75.00,4.87,1.06,-1.69,-1.69,1142,10,73,7,5,2445126512,2.3327,2.7004,2.3,2.806,2.37424294,2.8,3430799,1069056474,25270,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,LINK,RSI,0.00,-8.21,0.00,8.21,0.71,50.00,2.56,2.56,-1.53,-1.53,2830,10,73,7,33,151155272,0.4045,0.4377,0.386,0.45,0.40512009,2.6,1284728,6792386,2758,2019-02-01 12:11:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,ETC,RSI,0.00,-4.23,0.00,4.23,0.71,50.00,1.84,1.84,-3.39,-3.39,2180,10,73,7,17,446055745,3.9617,4.1308,3.6536,4.2775,3.87095510,2.2,333514,215209313,4836,2019-02-01 12:10:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,NEO,RSI,0.00,-8.03,0.00,8.03,1.29,75.00,2.05,1.82,-1.84,-1.84,765,10,73,7,16,487160632,6.964,7.52,6.7,7.858,7.00668398,2.0,310173,158161930,6984,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,LTC,RSI,0.00,-28.68,0.00,28.68,1.00,66.67,1.29,1.09,-2.46,-2.46,1283,10,73,7,4,2497492353,32.39,41.68,32.17,44.85,33.87904035,5.3,385795,1631478002,30188,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,NULS,RSI,0.00,-0.25,0.00,0.25,1.00,100.00,2.02,1.21,0.86,n/a,980,10,73,7,,,0.3965,0.3982,0.36,0.4326,0.38911917,3.4,356556,,1575,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,NEO,MACD,0.00,-8.03,0.00,8.03,0.29,100.00,5.50,5.5,5.50,n/a,610,10,73,7,16,487160632,6.964,7.52,6.7,7.858,7.00668398,2.0,310173,158161930,6984,2019-02-01 12:09:00,2019-02-08 21:14:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,ONT,RSI,0.00,-3.40,0.00,3.40,1.00,66.67,0.78,0.58,-1.90,-1.9,2033,10,73,7,28,181716713,0.5421,0.5619,0.5036,0.5799,0.53189055,2.2,1255059,19467865,3076,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,PAX,RSI,0.00,0.19,0.00,-0.19,0.57,0.00,-0.04,n/a,-0.04,-0.04,860,10,73,7,39,122634969,1.0123,1.0103,1.0059,1.0165,1.01162978,0.2,4474414,77720045,19786,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,LTC,MACD,0.00,-28.68,0.00,28.68,4.86,47.06,12.58,0.45,-1.24,-0.8,316,10,73,7,4,2497492353,32.39,41.68,32.17,44.85,33.87904035,5.3,385795,1631478002,30188,2019-02-01 12:09:00,2019-02-08 21:14:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,QTUM,RSI,0.00,-4.21,0.00,4.21,0.57,50.00,2.11,2.11,-3.20,-3.2,3735,10,73,7,29,171011401,1.853,1.931,1.704,1.98,1.80572116,2.4,129516,181962527,1690,2019-02-01 12:10:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,TUSD,RSI,0.00,0.21,0.00,-0.21,0.43,0.00,-0.01,n/a,-0.01,-0.01,3430,10,73,7,26,208050585,1.0125,1.0103,1.0029,1.0179,1.01190982,0.1,4629753,87199360,9709,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,TRX,RSI,0.00,-3.33,0.00,3.33,1.57,100.00,2.13,1.39,0.20,n/a,672,10,73,7,8,1789075848,0.02609,0.02697,0.02501,0.02914,0.02605898,2.0,524487702,224350676,34457,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,VET,RSI,0.00,-1.81,0.00,1.81,1.00,66.67,0.99,0.96,-4.46,-4.46,2423,10,73,7,25,219018955,0.003923,0.003994,0.003611,0.004104,0.00380323,2.3,208132433,5378180,4177,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,WAVES,RSI,0.00,3.00,0.00,-3.00,1.29,75.00,3.77,1.97,-3.53,-3.53,875,10,73,7,22,264234827,2.7586,2.676,2.4501,2.9071,2.66105871,4.2,372910,19395975,6642,2019-02-01 12:09:00,2019-02-08 21:13:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,XLM,RSI,0.00,2.06,0.00,-2.06,1.29,50.00,1.64,0.86,-4.36,-2.46,1012,10,73,7,9,1535794010,0.08211,0.08065,0.071,0.08384,0.07811405,4.1,45735191,133522137,14727,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BNB,RSI,0.00,-27.78,0.00,27.78,0.71,100.00,1.37,0.76,0.15,n/a,855,10,73,7,10,1212199886,6.596,8.4301,6.4558,8.8387,7.34485036,8.6,4066762,103234267,48337,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,XRP,RSI,0.00,-0.57,0.00,0.57,1.57,40.00,1.59,1.37,-0.58,-0.29,988,10,73,7,2,12723021040,0.30898,0.31109,0.28809,0.32129,0.29971681,2.2,55008864,669995786,56934,2019-02-01 12:09:00,2019-02-08 21:14:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BNB,MACD,0.00,-27.78,0.00,27.78,1.14,50.00,7.38,5.08,-2.61,-1.35,422,10,73,7,10,1212199886,6.596,8.4301,6.4558,8.8387,7.34485036,8.6,4066762,103234267,48337,2019-02-01 12:09:00,2019-02-08 21:14:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
